match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Shamar Joseph,Guyana Amazon Warriors,St Kitts and Nevis Patriots,4.5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Gudakesh Motie,Guyana Amazon Warriors,St Kitts and Nevis Patriots,5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Junior Sinclair,Guyana Amazon Warriors,St Kitts and Nevis Patriots,5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Kevin Sinclair,Guyana Amazon Warriors,St Kitts and Nevis Patriots,5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Keemo Paul,Guyana Amazon Warriors,St Kitts and Nevis Patriots,5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Ronaldo Alimohamed,Guyana Amazon Warriors,St Kitts and Nevis Patriots,6.5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Raymon Reifer,Guyana Amazon Warriors,St Kitts and Nevis Patriots,8,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Tabraiz Shamsi,St Kitts and Nevis Patriots,Guyana Amazon Warriors,4.2,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Anrich Nortje,St Kitts and Nevis Patriots,Guyana Amazon Warriors,4.2,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Odean Smith,St Kitts and Nevis Patriots,Guyana Amazon Warriors,4.5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Dominic Drakes,St Kitts and Nevis Patriots,Guyana Amazon Warriors,5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Ashmead Nedd,St Kitts and Nevis Patriots,Guyana Amazon Warriors,5.5,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Ryan John,St Kitts and Nevis Patriots,Guyana Amazon Warriors,6,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Johann Layne,St Kitts and Nevis Patriots,Guyana Amazon Warriors,6,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Veerasammy Permaul,St Kitts and Nevis Patriots,Guyana Amazon Warriors,7,TAB
St Kitts and Nevis Patriots v Guyana Amazon Warriors,Top Team Wicket Taker,St Kitts and Nevis Patriots,Guyana Amazon Warriors,Kyle Mayers,St Kitts and Nevis Patriots,Guyana Amazon Warriors,7.5,TAB
