match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Will Salzmann,Sydney Thunder,Melbourne Renegades,4.5,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Tanveer Sangha,Sydney Thunder,Melbourne Renegades,4.5,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Tom Andrews,Sydney Thunder,Melbourne Renegades,5,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Chris Green,Sydney Thunder,Melbourne Renegades,5,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Liam Hatcher,Sydney Thunder,Melbourne Renegades,5.5,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Nathan McAndrew,Sydney Thunder,Melbourne Renegades,5.5,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Ryan Hadley,Sydney Thunder,Melbourne Renegades,7,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Jason Sangha,Sydney Thunder,Melbourne Renegades,10,TAB
Sydney Thunder v Melbourne Renegades,Top Team Wicket Taker,Sydney Thunder,Melbourne Renegades,Sherfane Rutherford,Sydney Thunder,Melbourne Renegades,15,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Jamie Overton,Adelaide Strikers,Perth Scorchers,4.2,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Henry Thornton,Adelaide Strikers,Perth Scorchers,4.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Lloyd Pope,Adelaide Strikers,Perth Scorchers,4.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Cameron Boyce,Adelaide Strikers,Perth Scorchers,4.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Brendan Doggett,Adelaide Strikers,Perth Scorchers,5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,James Bazley,Adelaide Strikers,Perth Scorchers,5.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Liam Haskett,Adelaide Strikers,Perth Scorchers,6,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Jordan Buckingham,Adelaide Strikers,Perth Scorchers,7,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Liam Scott,Adelaide Strikers,Perth Scorchers,7,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Harry Manenti,Adelaide Strikers,Perth Scorchers,7.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Matt Short,Adelaide Strikers,Perth Scorchers,7.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,DArcy Short,Adelaide Strikers,Perth Scorchers,11,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Jason Behrendorff,Perth Scorchers,Adelaide Strikers,4.2,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Jhye Richardson,Perth Scorchers,Adelaide Strikers,4.2,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Andrew Tye,Perth Scorchers,Adelaide Strikers,4.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Lance Morris,Perth Scorchers,Adelaide Strikers,5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Matthew Kelly,Perth Scorchers,Adelaide Strikers,5.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Mahli Beardman,Perth Scorchers,Adelaide Strikers,5.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Ashton Agar,Perth Scorchers,Adelaide Strikers,6,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Bryce Jackson,Perth Scorchers,Adelaide Strikers,6,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Aaron Hardie,Perth Scorchers,Adelaide Strikers,7.5,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Matt Spoors,Perth Scorchers,Adelaide Strikers,8,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Cooper Connolly,Perth Scorchers,Adelaide Strikers,9,TAB
Adelaide Strikers v Perth Scorchers,Top Team Wicket Taker,Adelaide Strikers,Perth Scorchers,Ashton Turner,Perth Scorchers,Adelaide Strikers,13,TAB
