match,home_team,away_team,market,player_name,line,over_price,agency
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Ashton Agar,4.5,31,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Xavier Bartlett,0.5,1.28,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Xavier Bartlett,1.5,2.25,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Xavier Bartlett,2.5,4.8,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Xavier Bartlett,3.5,12,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Xavier Bartlett,4.5,29,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Mitchell Swepson,0.5,1.34,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Mitchell Swepson,1.5,2.5,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Mitchell Swepson,2.5,5.5,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Mitchell Swepson,3.5,13,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Mitchell Swepson,4.5,29,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Paul Walter,0.5,1.37,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Paul Walter,1.5,2.65,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Paul Walter,2.5,6,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Paul Walter,3.5,15,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Paul Walter,4.5,31,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Matt Kuhnemann,0.5,1.41,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Matt Kuhnemann,1.5,2.8,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Matt Kuhnemann,2.5,6.5,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Matt Kuhnemann,3.5,17,Pointsbet
Perth Scorchers v Brisbane Heat,Brisbane Heat,Perth Scorchers,Player Wickets,Matt Kuhnemann,4.5,31,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Cameron Boyce,0.5,1.26,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Cameron Boyce,1.5,2.2,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Cameron Boyce,2.5,4.6,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Cameron Boyce,3.5,11,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Cameron Boyce,4.5,26,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Lloyd Pope,0.5,1.26,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Lloyd Pope,1.5,2.2,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Lloyd Pope,2.5,4.6,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Lloyd Pope,3.5,11,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Lloyd Pope,4.5,26,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Liam Scott,0.5,1.33,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Liam Scott,1.5,2.45,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Liam Scott,2.5,5.5,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Liam Scott,3.5,13,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Liam Scott,4.5,29,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Henry Thornton,0.5,1.34,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Henry Thornton,1.5,2.5,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Henry Thornton,2.5,5.5,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Henry Thornton,3.5,13,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Henry Thornton,4.5,29,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Jamie Overton,0.5,1.34,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Jamie Overton,1.5,2.5,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Jamie Overton,2.5,6,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Jamie Overton,3.5,15,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Jamie Overton,4.5,29,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Nathan Ellis,0.5,1.35,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Nathan Ellis,1.5,2.55,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Nathan Ellis,2.5,6,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Nathan Ellis,3.5,15,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Nathan Ellis,4.5,29,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Riley Meredith,0.5,1.37,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Riley Meredith,1.5,2.6,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Riley Meredith,2.5,6,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Riley Meredith,3.5,15,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Riley Meredith,4.5,31,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Waqar Salamkheil,0.5,1.41,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Waqar Salamkheil,1.5,2.8,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Waqar Salamkheil,2.5,6.5,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Waqar Salamkheil,3.5,17,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Waqar Salamkheil,4.5,31,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Chris Jordan,0.5,1.52,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Chris Jordan,1.5,3.3,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Chris Jordan,2.5,8.5,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Chris Jordan,3.5,19,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Chris Jordan,4.5,34,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Billy Stanlake,0.5,1.61,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Billy Stanlake,1.5,3.8,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Billy Stanlake,2.5,10,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Billy Stanlake,3.5,21,Pointsbet
Adelaide Strikers v Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Player Wickets,Billy Stanlake,4.5,34,Pointsbet
