match,market,home_team,away_team,player_name,line,over_price,under_price,agency
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,74.5,12,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Colin Munro,99.5,26,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,4.5,1.08,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,9.5,1.23,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,14.5,1.4,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Glenn Maxwell,17.5,1.5,2.4,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,19.5,1.6,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,24.5,1.85,1.85,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,24.5,1.85,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,29.5,2.2,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Glenn Maxwell,31.5,2.4,1.5,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,39.5,3.1,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,49.5,4,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,74.5,11,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Glenn Maxwell,99.5,23,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,4.5,1.12,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,9.5,1.38,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Hugh Weibgen,11.5,1.5,2.4,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,14.5,1.65,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,18.5,1.85,1.85,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,19.5,1.95,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,24.5,2.45,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Hugh Weibgen,25.5,2.4,1.5,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,29.5,2.8,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,39.5,3.8,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,49.5,6,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,74.5,17,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Hugh Weibgen,99.5,41,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,4.5,1.12,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,9.5,1.36,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Jack Wildermuth,12.5,1.5,2.4,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,14.5,1.6,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,19.5,1.85,1.85,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,19.5,1.85,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,24.5,2.3,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Jack Wildermuth,26.5,2.4,1.5,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,29.5,2.7,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,39.5,3.6,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,49.5,5.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,74.5,15,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Jack Wildermuth,99.5,26,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,4.5,1.1,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,9.5,1.3,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,14.5,1.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,19.5,1.75,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,24.5,2.1,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,29.5,2.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,39.5,3.4,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,49.5,5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,74.5,13,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Marcus Stoinis,99.5,26,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,4.5,1.09,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,9.5,1.28,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,14.5,1.45,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Matt Renshaw,15.5,1.5,2.4,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,19.5,1.7,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,22.5,1.85,1.85,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,24.5,2.05,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Matt Renshaw,29.5,2.4,1.5,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,29.5,2.4,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,39.5,3.3,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,49.5,4.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,74.5,12,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Matt Renshaw,99.5,26,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,4.5,1.11,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,9.5,1.33,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,14.5,1.55,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,19.5,1.8,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,24.5,2.2,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,29.5,2.6,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,39.5,3.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,49.5,5.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,74.5,15,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Max Bryant,99.5,26,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,4.5,1.09,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,9.5,1.28,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,14.5,1.45,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Sam Harper,15.5,1.5,2.4,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,19.5,1.7,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,22.5,1.85,1.85,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,24.5,2.05,NA,TAB
Brisbane Heat v Melbourne Stars,Alternate Player Runs O/U,Brisbane Heat,Melbourne Stars,Sam Harper,29.5,2.4,1.5,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,29.5,2.4,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,39.5,3.3,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,49.5,4.5,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,74.5,12,NA,TAB
Brisbane Heat v Melbourne Stars,Player Runs,Brisbane Heat,Melbourne Stars,Sam Harper,99.5,26,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,4.5,1.11,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,9.5,1.33,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,14.5,1.55,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,19.5,1.8,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,24.5,2.2,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,29.5,2.2,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,39.5,3.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,49.5,5.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,74.5,15,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Aaron Hardie,99.5,26,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,4.5,1.1,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,9.5,1.3,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,14.5,1.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,19.5,1.75,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,24.5,2.1,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,29.5,2.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,39.5,3.4,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,49.5,5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,74.5,13,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ashton Turner,99.5,26,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,4.5,1.08,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,9.5,1.25,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,14.5,1.42,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Ben McDermott,16.5,1.5,2.4,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,19.5,1.65,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,23.5,1.85,1.85,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,24.5,1.95,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,29.5,2.3,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Ben McDermott,30.5,2.4,1.5,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,39.5,3.2,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,49.5,4.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,74.5,12,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Ben McDermott,99.5,23,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,4.5,1.08,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,9.5,1.23,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,14.5,1.4,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,17.5,1.5,2.4,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,19.5,1.6,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,24.5,1.85,1.85,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,24.5,1.85,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,29.5,2.2,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,31.5,2.4,1.5,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,39.5,3.1,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,49.5,4,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,74.5,10,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Cooper Connolly,99.5,23,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,4.5,1.1,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,9.5,1.3,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Finn Allen,14.5,1.5,2.4,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,14.5,1.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,19.5,1.75,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,21.5,2,1.72,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,24.5,2.1,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Finn Allen,28.5,2.4,1.5,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,29.5,2.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,39.5,3.4,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,49.5,5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,74.5,13,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Finn Allen,99.5,26,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,4.5,1.11,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,9.5,1.33,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,14.5,1.55,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,19.5,1.8,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,24.5,2.2,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,29.5,2.6,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,39.5,3.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,49.5,5.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,74.5,15,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Macalister Wright,99.5,26,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,4.5,1.08,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,9.5,1.25,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,14.5,1.42,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,16.5,1.5,2.4,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,19.5,1.65,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,23.5,1.85,1.85,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,24.5,1.95,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,29.5,2.3,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,30.5,2.4,1.5,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,39.5,3.2,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,49.5,4.5,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,74.5,10,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitch Marsh,99.5,23,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,4.5,1.09,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,9.5,1.28,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,14.5,1.45,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,15.5,1.5,2.4,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,19.5,1.7,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,22.5,1.85,1.85,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,24.5,2.05,NA,TAB
Hobart Hurricanes v Perth Scorchers,Alternate Player Runs O/U,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,29.5,2.4,1.5,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,29.5,2.4,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,39.5,3.3,NA,TAB
Hobart Hurricanes v Perth Scorchers,Player Runs,Hobart Hurricanes,Perth Scorchers,Mitchell Owen,49.5,4.5,NA,TAB
